
# Surface 0 of 1 surfaces

# Curve title: "filename using 1:2:(($4 - Z_min)*Eh2meV)"

# Contour 0, label:      565
 48.5587  13.6134  300 
 49.916  11.8363  300 
 50.8651  10.5882  300 
 52.9412  7.88672  300 

 89.4361 -86.2185  300 
 89.2437 -86.4558  300 
 86.3546 -89.2437  300 
 86.2185 -89.3461  300 
 83.1933 -90.9698  300 
 80.1681 -91.8311  300 
 77.1429 -92.087  300 
 74.1176 -91.8519  300 
 71.0924 -91.2196  300 
 68.0672 -90.2922  300 
 65.2154 -89.2437  300 
 65.042 -89.1794  300 
 62.0168 -87.9622  300 
 58.9916 -86.7476  300 
 57.6507 -86.2185  300 
 55.9664 -85.555  300 
 52.9412 -84.3979  300 
 49.916 -83.2586  300 
 49.7446 -83.1933  300 
 46.8908 -82.1072  300 
 43.8655 -80.9475  300 
 41.8558 -80.1681  300 
 40.8403 -79.7699  300 
 37.8151 -78.5782  300 
 34.7899 -77.3728  300 
 34.2193 -77.1429  300 
 31.7647 -76.1263  300 
 28.7395 -74.8464  300 
 27.0549 -74.1176  300 
 25.7143 -73.5164  300 
 22.6891 -72.1304  300 
 20.4747 -71.0924  300 
 19.6639 -70.7002  300 
 16.6387 -69.2361  300 
 14.2216 -68.0672  300 
 13.6134 -67.7679  300 
 10.5882 -66.2814  300 
 8.10631 -65.042  300 
 7.56303 -64.7649  300 
 4.53782 -63.1687  300 
 2.47979 -62.0168  300 
 1.51261 -61.448  300 
-1.51261 -59.4673  300 
-2.17 -58.9916  300 
-4.53782 -57.1696  300 
-6.0422 -55.9664  300 
-7.56303 -54.7163  300 
-9.70069 -52.9412  300 
-10.5882 -52.1974  300 
-13.3313 -49.916  300 
-13.6134 -49.6807  300 
-16.6387 -47.1955  300 
-17.0147 -46.8908  300 
-19.6639 -44.7285  300 
-20.7226 -43.8655  300 
-22.6891 -42.2303  300 
-24.3592 -40.8403  300 
-25.7143 -39.6907  300 
-27.9759 -37.8151  300 
-28.7395 -37.1887  300 
-31.7297 -34.7899  300 
-31.7647 -34.7629  300 
-34.7899 -32.4114  300 
-35.5838 -31.7647  300 
-37.8151 -30.0342  300 
-39.3279 -28.7395  300 
-40.8403 -27.4966  300 
-42.7165 -25.7143  300 
-43.8655 -24.6325  300 
-45.6297 -22.6891  300 
-46.8908 -21.2654  300 
-48.1389 -19.6639  300 
-49.916 -17.3038  300 
-50.3737 -16.6387  300 
-52.3874 -13.6134  300 
-52.9412 -12.7224  300 
-54.2173 -10.5882  300 
-55.8106 -7.56303  300 
-55.9664 -7.22592  300 
-57.2346 -4.53782  300 
-58.4745 -1.51261  300 
-58.9916 -0.22273  300 
-59.7751  1.51261  300 
-61.1832  4.53782  300 
-62.0168  6.37188  300 
